Story,Sprint,Assigned,Priority,Points,Actual time,State
Documentation UX cleanup,Go 4 Launch,,Low,1 (4 hours),,Sprint
Standardize function names,Go 4 Launch,,Low,.5 (2 hours),,Sprint
Support colon syntax,Go 4 Launch,,Low,1 (4 hours),,Sprint
Make cell editor display current formula when you start re-editing,,,Low,1 (4 hours),,backlog
Ideation on detecting unmatched parens,,,High,1 (4 hours),,backlog
"Implement unmatched parens ",,,Low,2 (8 hours),,backlog
Design sprint on the cell editor,Go 4 Launch,Nate Rush,High,2 (8 hours),2 hours (first time),in progress
Implement newly designed cell editor,Go 4 Launch,,Low,3 (16 hours),,Sprint
Add round functions,,,Low,1 (4 hours),,backlog
Design sprint on date usage,,,High,2 (8 hours),,backlog
Implement date usage specification,,,Low,2 (8 hours),,backlog
Add more functions,,,Low,2 (8 hours),,backlog
Allow mulitple sheets to be passed to mitosheet.sheet call,,,High,2 (8 hours),,backlog
Ideation on matching across mulitple sheets,,,High,2 (8 hours),,backlog
Implement cross-sheet matching in specification,,,Low,3 (16 hours),,backlog
Implement find and replace,,,Low,3 (16 hours),,backlog
Implement filter,,,Low,3 (16 hours),,backlog
Ideation on handling programming models introduced by filter,,,High,3 (16 hours),,backlog
Make Data Aggregation and Analyses google sheet,,,Medium,2 (8 hours),,backlog
Build mixpanel to pipeline google sheet integration,,,Low,1 (4 hours),,backlog
schedule onboarding calls,,,High,2 (8 hours),,backlog
Set-up 5 welcome calls for the week,,,High,2 (8 hours),,backlog
provide visual update to waiting list,,,High,2 (8 hours),,backlog
Pre-write 7 tweets for the week,,,High,1 (4 hours),,backlog
Post in 2 forums each day,,,High,2 (8 hours),,backlog
Make linkedIN posts and DM people,,,Low,1 (4 hours),,backlog
Make sure logs are getting our desired info,,,High,2 (8 hours),,backlog
Create the notebooks and materials for onboarding plans,Go 4 Launch,,,,,Sprint
Finalize Drip Sequence Plan,Go 4 Launch,,High,,,Sprint
Schedule onboarding calls,Go 4 Launch,,,,,Sprint
Develop hypothesis that we have about user's behavior and see if we can answer them given existing data infrastructure,Go 4 Launch,,Medium,2 (8 hours),,Sprint
Create plan for group testing sessions,Go 4 Launch,Nate Rush,High,.5 (2 hours),30 minutes,complete
Conduct group testing sessions,Go 4 Launch,,Low,1 (4 hours),,Sprint
Create plan for battle day,Go 4 Launch,Nate Rush,High,.5 (2 hours),1.5 hour,complete
Conduct battle day,Go 4 Launch,,Low,2 (8 hours),,Sprint
"Deploy servers ",Go 4 Launch,,High,1 (4 hours),,Sprint
Server backups,Go 4 Launch,Nate Rush,High,2 (8 hours),30 minutes (so far),in progress
Create user metrics and marketing metrics google sheet,Go 4 Launch,,High,1 (4 hours),,Sprint
"Create user data policy ",Go 4 Launch,,Low,1 (4 hours),,Sprint
Make a mito customer service email account,Go 4 Launch,,Medium,.5 (2 hours),,Sprint
Welcome Calls,Go 4 Launch,,High,,,Sprint
Life cycle ideation,Go 4 Launch,Nate Rush,High,2 (8 hours),,in progress
Implement new lifecycle,Go 4 Launch,,Low,3 (16 hours),,Sprint
Forum Posts,Go 4 Launch,,High,1 (4 hours),,Sprint
Linkedin Posts/Messaging,Go 4 Launch,,High,,,Sprint
Make mockup of current app,Go 4 Launch,Nate Rush,High,1 (4 hours),.5 hours,complete
Make mito sheet match UI current mockup,Go 4 Launch,,Low,1 (4 hours),,Sprint
Weekly Waiting List update,Go 4 Launch,,High,,,Sprint
Standardize Function Names,Go 4 Launch,,Low,.5 (2 hours),,Sprint
Finalize initial list of people to onboard,Go 4 Launch,,High,.5 (2 hours),,Sprint
Define release process for app,Go 4 Launch,Nate Rush,High,1 (4 hours),1 hour,complete
Update user testing plan for welcome calls,Go 4 Launch,,High,1 (4 hours),,Sprint
Setup Marketing email infrastructure,Go 4 Launch,Nate Rush,High,2 (8 hours),,in progress
Implement the software scheduler,Go 4 Launch,,Medium,1 (4 hours),,Sprint
Figure out user data policy,,,,,,Sprint
Add linting to GitHub,"Go 4 Launch, Sprint 3 Wild",Aaron Diamond-Reivich,,.5 (2 hours),2.5 hours,complete
Update Error Screen to detect A1 formatting and provide correct Syntax,Sprint 3 Wild,Nate Rush,High,1 (4 hours),30 minutes,complete
Repeat analysis button,Sprint 3 Wild,Nate Rush,High,1 (4 hours),2 hours,complete
,,,,,,
Type handling in sheet functions ideation,Go 4 Launch,,High,2 (8 hours),,Sprint
Column header cap. bug,Go 4 Launch,Nate Rush,Low,.5 (2 hours),20 minutes,in progress
Investor updates?,Go 4 Launch,,,,,backlog
Fix bug in export with column indexes being included,Go 4 Launch,,,,,backlog
